model_no,batch_size,embed_dim,class_weight,loss,accuracy,best_val_accuracy_in_history,best_val_loss_in_history,epochs_ran,saved_path
1,192,768,True,0.8785109519958496,0.75,0.75,0.8785070776939392,28,./models/model_0.750000_model1_bat192_emb768_classW.h5
2,64,512,False,0.941987156867981,0.756147563457489,0.756147563457489,0.8562327027320862,37,./models/model_0.756148_model2_bat64_emb512.h5
2,64,512,True,0.9543613195419312,0.7588797807693481,0.7588797807693481,0.8441663980484009,67,./models/model_0.758880_model2_bat64_emb512_classW.h5
2,64,640,False,0.9281147718429565,0.7595628499984741,0.7595628499984741,0.8452698588371277,35,./models/model_0.759563_model2_bat64_emb640.h5
2,64,640,True,0.9332626461982727,0.7568305730819702,0.7568305730819702,0.8378164768218994,29,./models/model_0.756831_model2_bat64_emb640_classW.h5
2,64,768,False,0.8362724184989929,0.7575136423110962,0.7575136423110962,0.8362710475921631,21,./models/model_0.757514_model2_bat64_emb768.h5
2,64,768,True,0.8984950184822083,0.7636612057685852,0.7636612057685852,0.8413320183753967,27,./models/model_0.763661_model2_bat64_emb768_classW.h5
2,128,512,False,0.8610156178474426,0.749316930770874,0.749316930770874,0.8610135912895203,24,./models/model_0.749317_model2_bat128_emb512.h5
2,128,512,True,0.974947988986969,0.75,0.75,0.8971549272537231,32,./models/model_0.750000_model2_bat128_emb512_classW.h5
2,128,640,False,0.951882541179657,0.7479507923126221,0.7479507923126221,0.8913910984992981,29,./models/model_0.747951_model2_bat128_emb640.h5
2,128,640,True,0.9212717413902283,0.7602459192276001,0.7602459192276001,0.8447497487068176,33,./models/model_0.760246_model2_bat128_emb640_classW.h5
2,128,768,False,0.9392648339271545,0.7581967115402222,0.7581967115402222,0.8895002007484436,37,./models/model_0.758197_model2_bat128_emb768.h5
2,128,768,True,0.9302440881729126,0.7534152865409851,0.7534152865409851,0.8694285154342651,39,./models/model_0.753415_model2_bat128_emb768_classW.h5
2,192,512,False,0.9518921971321106,0.7527322173118591,0.7527322173118591,0.9204195737838745,34,./models/model_0.752732_model2_bat192_emb512.h5
2,192,512,True,0.9046931266784668,0.7452185750007629,0.7452185750007629,0.8698011040687561,29,./models/model_0.745219_model2_bat192_emb512_classW.h5
2,192,640,False,0.9334022402763367,0.7588797807693481,0.7588797807693481,0.8478911519050598,38,./models/model_0.758880_model2_bat192_emb640.h5
2,192,640,True,0.9899405241012573,0.7452185750007629,0.7452185750007629,0.9226579666137695,41,./models/model_0.745219_model2_bat192_emb640_classW.h5
2,192,768,False,0.8869217038154602,0.7581967115402222,0.7581967115402222,0.8820021748542786,30,./models/model_0.758197_model2_bat192_emb768.h5
